1093-10;Kinex 1093-10;8595604711923;711
1092-2;Kinex 1092-2;8595604704765;1124
1119-10;Kinex 1119-10;8595604704840;497
1120-1;Kinex 1120-1;8595604704857;628
1120-4;Kinex 1120-4;8595604704864;1711
1121;Kinex 1121;8595604700392;592
1130;Kinex 1130;8595604700408;139
1131;Kinex 1131;8595604700415;231
1132;Kinex 1132;8595604700422;333
1133;Kinex 1133;8595604713422;330
1129-1;Kinex 1129-1;8595604704871;381
1140;Kinex 1140;8595604700439;322
1141;Kinex 1141;8595604700446;345
1142;Kinex 1142;8595604700453;345
1146;Kinex 1146;8595604700460;129
1147;Kinex 1147;8595604700477;168
1148;Kinex 1148;8595604700484;202
1134-0,005/D;Kinex 1134-0,005/D;8595604712234;2905
1134-0,01/D;Kinex 1134-0,01/D;8595604704895;1134
1134-0,02/D;Kinex 1134-0,02/D;8595604704901;924
1134-0,03/D;Kinex 1134-0,03/D;8595604704918;327
1134-0,04/D;Kinex 1134-0,04/D;8595604704925;327
1134-0,05/D;Kinex 1134-0,05/D;8595604704932;275
1134-0,06/D;Kinex 1134-0,06/D;8595604704949;275
1134-0,07/D;Kinex 1134-0,07/D;8595604704956;275
1134-0,08/D;Kinex 1134-0,08/D;8595604704963;275
1134-0,09/D;Kinex 1134-0,09/D;8595604704970;275
1134-0,10/D;Kinex 1134-0,10/D;8595604704987;275
1134-0,12/D;Kinex 1134-0,12/D;8595604704994;275
1134-0,15/D;Kinex 1134-0,15/D;8595604705007;275
1134-0,18/D;Kinex 1134-0,18/D;8595604705014;310
1134-0,20/D;Kinex 1134-0,20/D;8595604705021;275
1134-0,25/D;Kinex 1134-0,25/D;8595604705038;310
1134-0,30/D;Kinex 1134-0,30/D;8595604705045;310
1134-0,35/D;Kinex 1134-0,35/D;8595604705052;310
1134-0,40/D;Kinex 1134-0,40/D;8595604705069;310
1134-0,45/D;Kinex 1134-0,45/D;8595604712241;396
1134-0,50/D;Kinex 1134-0,50/D;8595604705076;310
1134-0,55/D;Kinex 1134-0,55/D;8595604712258;396
1134-0,60/D;Kinex 1134-0,60/D;8595604705083;327
1134-0,65/D;Kinex 1134-0,65/D;8595604712265;396
1134-0,70/D;Kinex 1134-0,70/D;8595604705090;327
1134-0,75/D;Kinex 1134-0,75/D;8595604712272;396
1134-0,80/D;Kinex 1134-0,80/D;8595604705106;327
1134-0,85/D;Kinex 1134-0,85/D;8595604712289;396
1134-0,90/D;Kinex 1134-0,90/D;8595604705113;353
1134-0,95/D;Kinex 1134-0,95/D;8595604712296;396
1134-1,00/D;Kinex 1134-1,00/D;8595604705120;353
1122;Kinex 1122;8595604712869;99
1123;Kinex 1123;8595604712814;99
1124;Kinex 1124;8595604712821;120
1126;Kinex 1126;8595604712845;117
1125;Kinex 1125;8595604712838;162
1120-2;Kinex 1120-2;8595604712876;70
1120-3;Kinex 1120-3;8595604716089;1260
1120-5;Kinex 1120-5;8595604717550;4312
1150;Kinex 1150;8595604700491;2000
1150-1;Kinex 1150-1;8595604713361;2136
1150-5;Kinex 1150-5;8595604705137;2494
1150-6;Kinex 1150-6;8595604705144;2427
1150-7;Kinex 1150-7;8595604712302;2427
1151;Kinex 1151;8595604700507;2661
1150-02-150;Kinex 1150-02-150;8595604716980;5876
1150-02-200;Kinex 1150-02-200;8595604716997;7396
1150-02-300;Kinex 1150-02-300;8595604717000;9531
1150-03-150;Kinex 1150-03-150;8595604717017;5876
1150-03-200;Kinex 1150-03-200;8595604717024;7396
1150-03-300;Kinex 1150-03-300;8595604717031;9531
1152;Kinex 1152;8595604711947;1780
1153;Kinex 1153;8595604712883;2997
1154-02-190;Kinex 1154-02-190;8595604717048;2796
1154-02-210;Kinex 1154-02-210;8595604717055;4545
1160;Kinex 1160;8595604700552;832
1155-02-110;Kinex 1155-02-110;8595604705168;845
1155-02-110;Kinex 1155-02-110;8595604715525;845
1155-02-010;Kinex 1155-02-010;8595604700514;536
1155-02-010;Kinex 1155-02-010;8595604715495;536
1155-02-001;Kinex 1155-02-001;8595604705182;1047
1155-02-001;Kinex 1155-02-001;8595604715464;1047
1155-02-025;Kinex 1155-02-025;8595604705151;684
1155-02-025;Kinex 1155-02-025;8595604715501;747
1155-02-030;Kinex 1155-02-030;8595604705175;1102
1155-02-030;Kinex 1155-02-030;8595604715518;1102
1155-02-005;Kinex 1155-02-005;8595604700545;536
1155-02-005;Kinex 1155-02-005;8595604715488;536
1155-02-710;Kinex 1155-02-710;8595604700538;1110
1155-02-710;Kinex 1155-02-710;8595604715471;1110
1155-02-410;Kinex 1155-02-410;8595604705199;749
1155-02-410;Kinex 1155-02-410;8595604715532;749
1155-5;Kinex 1155-5;8595604705205;1387
1155-6;Kinex 1155-6;8595604705212;2476
1155-15-001;Kinex 1155-15-001;8595604717529;4692
1155-05-010;Kinex 1155-05-010;8595604714573;2966
1155-05-001;Kinex 1155-05-001;8595604714566;6034
1156-02-010;Kinex 1156-02-010;8595604700521;933
1156-02-010;Kinex 1156-02-010;8595604715693;933
1156-02-102;Kinex 1156-02-102;8595604715716;2410
1156-02-222;Kinex 1156-02-222;8595604715846;3705
1156-02-110;Kinex 1156-02-110;8595604705229;949
1156-02-110;Kinex 1156-02-110;8595604715709;949
1155-7;Kinex 1155-7;8595604712685;255
2001;Kinex 2001;8595604712319;103
2002;Kinex 2002;8595604712326;142
2002-1;Kinex 2002-1;8595604712333;136
2003;Kinex 2003;8595604712340;328
2006;Kinex 2006;8595604712357;246
2007;Kinex 2007;8595604712364;287
2008;Kinex 2008;8595604712371;304
2009;Kinex 2009;8595604712388;317
2010;Kinex 2010;8595604712395;577
2012;Kinex 2012;8595604712401;144
2013;Kinex 2013;8595604712418;162
2014;Kinex 2014;8595604712425;179
2016;Kinex 2016;8595604712692;207
2017;Kinex 2017;8595604712708;229
2018;Kinex 2018;8595604712715;241
2019;Kinex 2019;8595604712722;267
2034;Kinex 2034;8595604714719;427
2035;Kinex 2035;8595604700569;471
2036;Kinex 2036;8595604700576;589
2037;Kinex 2037;8595604700583;1114
2038;Kinex 2038;8595604713439;5006
2040;Kinex 2040;8595604700590;676
2041;Kinex 2041;8595604700606;734
2041-1;Kinex 2041-1;8595604705236;807
2042;Kinex 2042;8595604700613;851
2042-2;Kinex 2042-2;8595604705243;1356
2042-3;Kinex 2042-3;8595604713354;8155
2050-05-150;Kinex 2050-05-150;8595604700620;1107
2050-05-200;Kinex 2050-05-200;8595604700637;1223
2050-05-300;Kinex 2050-05-300;8595604700644;1802
2050-05-500;Kinex 2050-05-500;8595604700651;2637
2050-05-150;Kinex 2050-05-150;8595604713446;1107
2050-05-200;Kinex 2050-05-200;8595604713453;1223
2050-05-300;Kinex 2050-05-300;8595604713460;1802
2050-05-500;Kinex 2050-05-500;8595604713477;2637
2053-1;Kinex 2053-1;8595604705274;1470
2053-2;Kinex 2053-2;8595604705281;1761
2053-3;Kinex 2053-3;8595604705298;2594
2053-4;Kinex 2053-4;8595604705304;5115
2051-05-150;Kinex 2051-05-150;8595604700668;1085
2051-05-200;Kinex 2051-05-200;8595604700675;1400
2051-05-300;Kinex 2051-05-300;8595604705250;1925
2051-05-500;Kinex 2051-05-500;8595604705267;3135
2051-05-150;Kinex 2051-05-150;8595604713484;1085
2051-05-200;Kinex 2051-05-200;8595604713491;1400
2051-05-300;Kinex 2051-05-300;8595604713507;1993
2051-05-500;Kinex 2051-05-500;8595604713514;3135
2070;Kinex 2070;8595604700682;175
2071;Kinex 2071;8595604700699;217
2072;Kinex 2072;8595604700705;240
2073;Kinex 2073;8595604700712;265
2074;Kinex 2074;8595604712432;846
2075;Kinex 2075;8595604712456;1025
2074-1;Kinex 2074-1;8595604712449;632
2075-1;Kinex 2075-1;8595604712463;743
2078;Kinex 2078;8595604700729;2108
2078-1;Kinex 2078-1;8595604705311;3144
2078-2;Kinex 2078-2;8595604705328;7056
2078-3;Kinex 2078-3;8595604705335;8724
3001;Kinex 3001;8595604710902;860
3002;Kinex 3002;8595604710919;974
3014-02-020;Kinex 3014-02-020;8595604700736;2172
3014-02-030;Kinex 3014-02-030;8595604700743;3505
3014-02-050;Kinex 3014-02-050;8595604700750;4357
3014-02-100;Kinex 3014-02-100;8595604700767;11601
3014-02-020;Kinex 3014-02-020;8595604717321;2172
3014-02-030;Kinex 3014-02-030;8595604717338;3505
3014-02-050;Kinex 3014-02-050;8595604717345;4357
3014-02-100;Kinex 3014-02-100;8595604717352;11601
3022-05-020;Kinex 3022-05-020;8595604700774;7467
3022-05-030;Kinex 3022-05-030;8595604700781;7737
3022-05-050;Kinex 3022-05-050;8595604700798;10468
3022-05-060;Kinex 3022-05-060;8595604705342;10861
3022-05-100;Kinex 3022-05-100;8595604705359;35771
3022-05-020;Kinex 3022-05-020;8595604713521;7732
3022-05-030;Kinex 3022-05-030;8595604713538;7988
3022-05-050;Kinex 3022-05-050;8595604713545;10782
3022-05-060;Kinex 3022-05-060;8595604713552;11310
3022-05-080;Kinex 3022-05-080;8595604713569;14146
3022-05-100;Kinex 3022-05-100;8595604713576;35667
3020-02-030;Kinex 3020-02-030;8595604711954;9296
3020-02-050;Kinex 3020-02-050;8595604714962;11952
3020-02-060;Kinex 3020-02-060;8595604714979;13131
3025;Kinex 3025;8595604700804;12
3026;Kinex 3026;8595604700811;30
3026-30;Kinex 3026-30;8595604711695;319
3025-2;Kinex 3025-2;8595604705366;41
3025-3;Kinex 3025-3;8595604713583;86
3025-4;Kinex 3025-4;8595604713590;100
3040;Kinex 3040;8595604700828;96
3047;Kinex 3047;8595604700866;131
3045;Kinex 3045;8595604700859;126
3042;Kinex 3042;8595604700835;192
3044;Kinex 3044;8595604700842;404
3046;Kinex 3046;8595604711961;428
3048;Kinex 3048;8595604710421;1780
3049-06-315;Kinex 3049-06-315;8595604705373;70
3049-06-355;Kinex 3049-06-355;8595604705380;74
3049-06-400;Kinex 3049-06-400;8595604705397;86
3049-06-500;Kinex 3049-06-500;8595604705403;96
3049-06-560;Kinex 3049-06-560;8595604705410;114
