Lopatka First Fiskars;Fiskars 138180;138180;6411501381804;246;
Rýè First Fiskars;Fiskars 138170;138170;6411501381705;246;
Hrábì First Fiskars;Fiskars 138160;138160;6411501381606;246;
Koštì First Fiskars;Fiskars 138150;138150;6411501381507;297;
Konev 2 l First Fiskars;Fiskars 138220;138220;6411501382207;96;
Souprava pro údržbu zahradních nùžek;Fiskars 114790;114790;6411501147905;953;
Náhradní èepel, pružina a šroub QuantumTM pro 111970;Fiskars 111977;111977;6411501119773;224;
Pružina k nùžkám 111430, 111440, 111450, 111510 a 111520;Fiskars 111447;111447;6411501114471;68;
Èepel a centrální šroub k nùžkám 111510;Fiskars 111516;111516;6411501115164;161;
Èepel a centrální šroub k nùžkám 111520;Fiskars 111526;111526;6411501115263;161;
Èepel, centrální šroub a seøizovací šroub k nùžkám 111540;Fiskars 111546;111546;6411501115461;239;
Èepel, pružina a tøi èepy k nùžkám 111340;Fiskars 111348;111348;6411501113481;161;
Náhradní èepel a díly k zahradním nùžkám 111960;Fiskars 111965;111965;6411501119650;90;
Objímka SoftouchTM a oranžové zakonèení násady s kulièkou k nùžkám 115360, 115390 a 115400;Fiskars 115364;115364;6411501153647;171;
Vnitøní pásek a šòùrka k 115360 a 115400;Fiskars 115366;115366;6411501153661;161;
Objímka a oranžová koncová kulièka k nùžkám 115560;Fiskars 115565;115565;6411501155658;194;
Vnìjší pásek, vnitøní pásek a šòùrka k 115560;Fiskars 115568;115568;6411501155689;209;
Náhradní èepel, pružina a spojka k nùžkám 115360, 115390 a 115560 ;Fiskars 115367;115367;6411502963696;305;
Èepel k nùžkám QuantumTM 112240;Fiskars 112247;112247;6411501122476;335;
Èepel k nùžkám QuantumTM 112630, 112330;Fiskars 112337;112337;6411501123374;410;
Èepel a doraz k nùžkám QuantumTM 112610;Fiskars 112617;112617;6411501126177;551;
Èepel k nùžkám 112200, 112300;Fiskars 112307;112307;6411501123077;327;
Èepel k nùžkám 112590, 112370 a 112470;Fiskars 112477;112477;6411502964396;290;
Èepel a doraz k nùžkám 112180 a 112280;Fiskars 112287;112287;6411501122872;305;
Èepel a doraz k nùžkám 112380 a 112480;Fiskars 112487;112487;6411502963894;365;
Èepel a doraz k nùžkám 112580;Fiskars 112587;112587;6411501125873;365;
Návlek držadla k nùžkám na živé ploty, vytrhávaèi plevele 139910 a nùžkám na silné vìtve (kromì 112580 a 112590);Fiskars 112488;112488;6411501124883;126;
;Fiskars 112595;112595;6411501125958;1709;
;Fiskars 129030;129030;6411501290304;2085;
