;obj.è.;Jaz.název;cena s DPH, WEB bez dalších slev
Proteco 42.10-3575A;42.10-3575A;vodováha kovová 500mm kalibrovaná;122
Proteco 42.10-3576A;42.10-3576A;vodováha kovová 600mm kalibrovaná;131
Proteco 42.10-3578A;42.10-3578A;vodováha kovová 800mm kalibrovaná;167
Proteco 42.10-3580A;42.10-3580A;vodováha kovová 1000mm kalibrovaná;196
Proteco 42.10-3582A;42.10-3582A;vodováha kovová 1200mm kalibrovaná;230
Proteco 42.10-3585A;42.10-3585A;vodováha kovová 1500mm kalibrovaná;282
Proteco 42.10-3588A;42.10-3588A;vodováha kovová 1800mm kalibrovaná;307
Proteco 42.10-3589A;42.10-3589A;vodováha kovová 2000mm kalibrovaná;359
Proteco 42.12-08230;42.12-08230;vrták do døeva hadovitı  8 x 230;38
Proteco 42.12-08450;42.12-08450;vrták do døeva hadovitı  8 x 450;70
Proteco 42.12-09450;42.12-09450;vrták do døeva hadovitı  9 x 450;63
Proteco 42.12-10230;42.12-10230;vrták do døeva hadovitı 10 x 230;37
Proteco 42.12-10450;42.12-10450;vrták do døeva hadovitı 10 x 450;73
Proteco 42.12-12230;42.12-12230;vrták do døeva hadovitı 12 x 230;51
Proteco 42.12-12450;42.12-12450;vrták do døeva hadovitı 12 x 450;90
Proteco 42.12-12600;42.12-12600;vrták do døeva hadovitı 12 x 600;122
Proteco 42.12-14230;42.12-14230;vrták do døeva hadovitı 14 x 230;63
Proteco 42.12-14450;42.12-14450;vrták do døeva hadovitı 14 x 450;103
Proteco 42.12-14600;42.12-14600;vrták do døeva hadovitı 14 x 600;150
Proteco 42.12-16230;42.12-16230;vrták do døeva hadovitı 16 x 230;72
Proteco 42.12-16450;42.12-16450;vrták do døeva hadovitı 16 x 450;122
Proteco 42.12-16600;42.12-16600;vrták do døeva hadovitı 16 x 600;150
Proteco 42.12-18450;42.12-18450;vrták do døeva hadovitı 18 x 450;148
Proteco 42.12-18600;42.12-18600;vrták do døeva hadovitı 18 x 600;181
Proteco 42.12-20450;42.12-20450;vrták do døeva hadovitı 20 x 450;161
Proteco 42.12-20600;42.12-20600;vrták do døeva hadovitı 20 x 600;196
Proteco 42.12-22450;42.12-22450;vrták do døeva hadovitı 22 x 450;185
Proteco 42.12-24450;42.12-24450;vrták do døeva hadovitı 24 x 450;239
Proteco 42.12-26450;42.12-26450;vrták do døeva hadovitı 26 x 450;253
Proteco 42.12-SADA-230;42.12-SADA-230;sada vrtákù do døeva had. 230mm 6-dílná (10,12,14,16,18,20mm);501
Proteco 42.12-SADA-460;42.12-SADA-460;sada vrtákù do døeva had. 460mm 6-dílná (10,12,14,16,18,20mm);875
Proteco 42.13-230-0100;42.13-230-0100;kladivo zámeènické 100g, s plast. rukojetí;59
Proteco 42.13-230-0200;42.13-230-0200;kladivo zámeènické 200g, s plast. rukojetí;83
Proteco 42.13-230-0300;42.13-230-0300;kladivo zámeènické 300g, s plast. rukojetí;99
Proteco 42.13-230-0400;42.13-230-0400;kladivo zámeènické 400g, s plast. rukojetí;109
Proteco 42.13-230-0500;42.13-230-0500;kladivo zámeènické 500g, s plast. rukojetí;119
Proteco 42.13-230-0600;42.13-230-0600;kladivo zámeènické 600g, s plast. rukojetí;130
Proteco 42.13-230-0800;42.13-230-0800;kladivo zámeènické 800g, s plast. rukojetí;165
Proteco 42.13-230-1000;42.13-230-1000;kladivo zámeènické 1000g, s plast. rukojetí;185
Proteco 42.13-230-1500;42.13-230-1500;kladivo zámeènické 1500g, s plast. rukojetí;248
Proteco 42.13-230-2000;42.13-230-2000;kladivo zámeènické 2000g, s plast. rukojetí;308
Proteco 42.13-DE-300;42.13-DE-300;drák elektrod ST 101-040 300A;216
Proteco 42.13-DE-500;42.13-DE-500;drák elektrod ST 101-041 500A;276
Proteco 42.13-KZ-300;42.13-KZ-300;kleštì zemnící HO 107 300A pro svaøování;126
Proteco 42.13-PS;42.13-PS;"pumpa sudová ruèní, závit 2"", teleskop.trubka";934
Proteco 42.17-950054;42.17-950054;pistole na PU pìny celokovová;328
Proteco 42.17-950055;42.17-950055;pistole na PU pìny s teflonovım povlakem;369
Proteco 42.17-99-01;42.17-99-01;míchaè na barvu   85/390mm levá spirála, pozink.;57
Proteco 42.17-99-02;42.17-99-02;míchaè na barvu 95/500mm levá spirála, pozink.;146
Proteco 42.18-27300;42.18-27300;"adaptér SDS plus - závit 1/2""-20 UNF";24
Proteco 42.18-32138;42.18-32138;zámek visací litina 38mm;38
Proteco 42.18-32145;42.18-32145;zámek visací litina 45mm;50
Proteco 42.18-32150;42.18-32150;zámek visací litina 50mm;61
Proteco 42.18-32163;42.18-32163;zámek visací litina 63mm;84
Proteco 42.18-341-901;42.18-341-901;sada klíèù zástrènıch 6HR s kulièkou 9 ks;196
Proteco 42.18-341-902;42.18-341-902;sada klíèù zástrènıch TRX 9 ks;177
Proteco 42.18-342-008;42.18-342-008;klíè ráènovı oèkoplochı   8 mm  s moností dorazu CrV;198
Proteco 42.18-342-009;42.18-342-009;klíè ráènovı oèkoplochı   9 mm  s moností dorazu CrV;185
Proteco 42.18-342-010;42.18-342-010;klíè ráènovı oèkoplochı  10 mm  s moností dorazu CrV;212
Proteco 42.18-342-011;42.18-342-011;klíè ráènovı oèkoplochı  11 mm  s moností dorazu CrV;181
Proteco 42.18-342-012;42.18-342-012;klíè ráènovı oèkoplochı  12 mm  s moností dorazu CrV;223
Proteco 42.18-342-013;42.18-342-013;klíè ráènovı oèkoplochı  13 mm  s moností dorazu CrV;238
Proteco 42.18-342-014;42.18-342-014;klíè ráènovı oèkoplochı  14 mm  s moností dorazu CrV;249
Proteco 42.18-342-015;42.18-342-015;klíè ráènovı oèkoplochı  15 mm  s moností dorazu CrV;260
Proteco 42.18-342-016;42.18-342-016;klíè ráènovı oèkoplochı  16 mm  s moností dorazu CrV;314
Proteco 42.18-342-017;42.18-342-017;klíè ráènovı oèkoplochı  17 mm  s moností dorazu CrV;294
Proteco 42.18-342-018;42.18-342-018;klíè ráènovı oèkoplochı  18 mm  s moností dorazu CrV;346
Proteco 42.18-342-019;42.18-342-019;klíè ráènovı oèkoplochı  19 mm  s moností dorazu CrV;324
Proteco 42.18-342-606;42.18-342-606;sada klíèù ráènovıch s moností dorazu 6-dílná v obalu;1451
Proteco 42.18-342-608;42.18-342-608;sada klíèù ráènovıch s moností dorazu 8-dílná v obalu;1979
Proteco 42.18-342-612;42.18-342-612;sada klíèù ráènovıch s moností dorazu 12-dílná v obalu;2884
Proteco 42.18-342-772;42.18-342-772;sada klíèù ráènovıch s moností dorazu 7-dílná v plast.dráku;1633
Proteco 42.18-343.608;42.18-343.608;sada klíèù ráènovıch s kloubem   8 dílná v obalu;1632
Proteco 42.18-343.612;42.18-343.612;sada klíèù ráènovıch s kloubem 12 dílná v obalu;2209
Proteco 42.18-343-006;42.18-343-006;klíè ráènovı oèkoplochı   6 mm s kloubem CrV;119
Proteco 42.18-343-007;42.18-343-007;klíè ráènovı oèkoplochı   7 mm s kloubem CrV;134
Proteco 42.18-343-008;42.18-343-008;klíè ráènovı oèkoplochı   8 mm s kloubem CrV;135
Proteco 42.18-343-009;42.18-343-009;klíè ráènovı oèkoplochı   9 mm s kloubem CrV;130
Proteco 42.18-343-010;42.18-343-010;klíè ráènovı oèkoplochı 10 mm s kloubem CrV;147
Proteco 42.18-343-011;42.18-343-011;klíè ráènovı oèkoplochı 11 mm s kloubem CrV;151
Proteco 42.18-343-012;42.18-343-012;klíè ráènovı oèkoplochı 12 mm s kloubem CrV;174
Proteco 42.18-343-013;42.18-343-013;klíè ráènovı oèkoplochı 13 mm s kloubem CrV;181
Proteco 42.18-343-014;42.18-343-014;klíè ráènovı oèkoplochı 14 mm s kloubem CrV;195
Proteco 42.18-343-015;42.18-343-015;klíè ráènovı oèkoplochı 15 mm s kloubem CrV;190
Proteco 42.18-343-016;42.18-343-016;klíè ráènovı oèkoplochı 16 mm s kloubem CrV;202
Proteco 42.18-343-017;42.18-343-017;klíè ráènovı oèkoplochı 17 mm s kloubem CrV;228
Proteco 42.18-343-018;42.18-343-018;klíè ráènovı oèkoplochı 18 mm s kloubem CrV;231
Proteco 42.18-343-019;42.18-343-019;klíè ráènovı oèkoplochı 19 mm s kloubem CrV;260
Proteco 42.18-343-021;42.18-343-021;klíè ráènovı oèkoplochı 21 mm s kloubem CrV;289
Proteco 42.18-343-022;42.18-343-022;klíè ráènovı oèkoplochı 22 mm s kloubem CrV;309
Proteco 42.18-343-024;42.18-343-024;klíè ráènovı oèkoplochı 24 mm s kloubem CrV;352
Proteco 42.18-343-027;42.18-343-027;klíè ráènovı oèkoplochı 27 mm s kloubem CrV;425
Proteco 42.18-343-030;42.18-343-030;klíè ráènovı oèkoplochı 30 mm s kloubem CrV;519
Proteco 42.18-343-032;42.18-343-032;klíè ráènovı oèkoplochı 32 mm s kloubem CrV;549
Proteco 42.18-343-772;42.18-343-772;sada klíèù ráènovıch kloubovıch (8,10,12,13,14,17,19mm);1321
Proteco 42.18-344.605;42.18-344.605;sada klíèù ráènovıch   5-dílná v obalu;1040
Proteco 42.18-344.608;42.18-344.608;sada klíèù ráènovıch   8 dílná v obalu;1511
Proteco 42.18-344.612;42.18-344.612;sada klíèù ráènovıch 12 dílná v obalu;2115
Proteco 42.18-344-005;42.18-344-005;klíè ráènovı oèkoplochı   5.5 mm CrV;106
Proteco 42.18-344-006;42.18-344-006;klíè ráènovı oèkoplochı   6 mm CrV;106
Proteco 42.18-344-007;42.18-344-007;klíè ráènovı oèkoplochı   7 mm CrV;108
Proteco 42.18-344-008;42.18-344-008;klíè ráènovı oèkoplochı   8 mm CrV;115
Proteco 42.18-344-009;42.18-344-009;klíè ráènovı oèkoplochı   9 mm CrV;123
Proteco 42.18-344-010;42.18-344-010;klíè ráènovı oèkoplochı 10 mm CrV;124
Proteco 42.18-344-011;42.18-344-011;klíè ráènovı oèkoplochı 11 mm CrV;135
Proteco 42.18-344-012;42.18-344-012;klíè ráènovı oèkoplochı 12 mm CrV;142
Proteco 42.18-344-013;42.18-344-013;klíè ráènovı oèkoplochı 13 mm CrV;152
Proteco 42.18-344-014;42.18-344-014;klíè ráènovı oèkoplochı 14 mm CrV;159
Proteco 42.18-344-015;42.18-344-015;klíè ráènovı oèkoplochı 15 mm CrV;165
Proteco 42.18-344-016;42.18-344-016;klíè ráènovı oèkoplochı 16 mm CrV;177
Proteco 42.18-344-017;42.18-344-017;klíè ráènovı oèkoplochı 17 mm CrV;183
Proteco 42.18-344-018;42.18-344-018;klíè ráènovı oèkoplochı 18 mm CrV;188
Proteco 42.18-344-019;42.18-344-019;klíè ráènovı oèkoplochı 19 mm CrV;201
Proteco 42.18-344-021;42.18-344-021;klíè ráènovı oèkoplochı 21 mm CrV;221
Proteco 42.18-344-022;42.18-344-022;klíè ráènovı oèkoplochı 22 mm CrV;228
Proteco 42.18-344-024;42.18-344-024;klíè ráènovı oèkoplochı 24 mm CrV;257
Proteco 42.18-344-027;42.18-344-027;klíè ráènovı oèkoplochı 27 mm CrV;333
Proteco 42.18-344-030;42.18-344-030;klíè ráènovı oèkoplochı 30 mm CrV;373
Proteco 42.18-344-032;42.18-344-032;klíè ráènovı oèkoplochı 32 mm CrV;420
Proteco 42.18-344-034;42.18-344-034;klíè ráènovı oèkoplochı 34 mm CrV;538
Proteco 42.18-344-036;42.18-344-036;klíè ráènovı oèkoplochı 36 mm CrV;667
Proteco 42.18-344-772;42.18-344-772;sada klíèù ráènovıch CrV SRK772 (8,10,12,13,14,17,19mm);1070
Proteco 42.18-344-7M;42.18-344-7M;sada klíèù ráènovıch s dorazem 7-dílná (8,10,12,13,14,17,19mm);1709
Proteco 42.18-345-06X08;42.18-345-06X08;klíè ráènovı oèkovı   6 x 8  mm CrV;137
Proteco 42.18-345-08X09;42.18-345-08X09;klíè ráènovı oèkovı   8 x 9  mm CrV;146
Proteco 42.18-345-10X11;42.18-345-10X11;klíè ráènovı oèkovı  10 x 11  mm CrV;153
Proteco 42.18-345-12X13;42.18-345-12X13;klíè ráènovı oèkovı  12 x 13  mm CrV;181
Proteco 42.18-345-14X15;42.18-345-14X15;klíè ráènovı oèkovı  14 x 15  mm CrV;195
Proteco 42.18-345-16X17;42.18-345-16X17;klíè ráènovı oèkovı  16 x 17  mm CrV;224
Proteco 42.18-345-17X19;42.18-345-17X19;klíè ráènovı oèkovı  17 x 19  mm CrV;237
Proteco 42.18-345-18X19;42.18-345-18X19;klíè ráènovı oèkovı  18 x 19  mm CrV;273
Proteco 42.18-345-606;42.18-345-606;sada klíèù ráènovıch 6-dílná v obalu;1191
Proteco 42.18-345-608;42.18-345-608;sada klíèù ráènovıch 8-dílná v obalu;1337
Proteco 42.18-346-08X09;42.18-346-08X09;klíè ráènovı oèkovı   8 x 9 mm s klouby CrV;185
Proteco 42.18-346-10X11;42.18-346-10X11;klíè ráènovı oèkovı  10 x 11 mm s klouby CrV;198
Proteco 42.18-346-12X13;42.18-346-12X13;klíè ráènovı oèkovı  12 x 13 mm s klouby CrV;222
Proteco 42.18-346-14X15;42.18-346-14X15;klíè ráènovı oèkovı  14 x 15 mm s klouby CrV;241
Proteco 42.18-346-16X17;42.18-346-16X17;klíè ráènovı oèkovı  16 x 17 mm s klouby CrV;274
Proteco 42.18-346-17X19;42.18-346-17X19;klíè ráènovı oèkovı  17 x 19 mm s klouby CrV;304
Proteco 42.18-346-18X19;42.18-346-18X19;klíè ráènovı oèkovı  18 x 19 mm s klouby CrV;301
Proteco 42.18-346-606;42.18-346-606;sada klíèù ráènovıch s kloubem 6-dílná v obalu;1296
Proteco 42.18-5-10605;42.18-5-10605;drát sváøecí 0.6mm cívka  5kg;520
Proteco 42.18-5-10615;42.18-5-10615;drát sváøecí 0.6mm cívka 15kg;1213
Proteco 42.18-5-10805;42.18-5-10805;drát sváøecí 0.8mm cívka  5kg;382
Proteco 42.18-5-10815;42.18-5-10815;drát sváøecí 0.8mm cívka 15kg;975
Proteco 42.18-5-11015;42.18-5-11015;drát sváøecí 1.0mm cívka 15kg;934
Proteco 42.18-5-11215;42.18-5-11215;drát sváøecí 1.2mm cívka 15kg;937
Proteco 42.18-5-BAZIK-2.5;42.18-5-BAZIK-2.5;elektroda bazik 2.5/300mm  2.5kg;205
Proteco 42.18-5-BAZIK-3.2;42.18-5-BAZIK-3.2;elektroda bazik 3.2/350mm  5kg;368
Proteco 42.18-5-RUTIL-2.0;42.18-5-RUTIL-2.0;elektroda rutil 2.0/300mm  2.5kg;166
Proteco 42.18-5-RUTIL-2.5;42.18-5-RUTIL-2.5;elektroda rutil 2.5/300mm  2.5kg;188
Proteco 42.18-5-RUTIL-3.2;42.18-5-RUTIL-3.2;elektroda rutil 3.2/350mm  5kg;419
Proteco 42.18-KAB003-3;42.18-KAB003-3;kabel prodluovací  3 m  (3 zásuvky)  prùøez 1,5mm2;160
Proteco 42.18-KAB003-5;42.18-KAB003-5;kabel prodluovací  3 m  (5 zásuvek)  prùøez 1,5mm2;182
Proteco 42.18-KAB004-4B;42.18-KAB004-4B;kabel prodluovací  4 m  v bubnu, 4 zásuvky, prùøez 1,5mm2;288
Proteco 42.18-KAB005-3;42.18-KAB005-3;kabel prodluovací  5 m  (3 zásuvky)  prùøez 1,5mm2;213
Proteco 42.18-KAB005-5;42.18-KAB005-5;kabel prodluovací  5 m  (5 zásuvek)  prùøez 1,5mm2;233
Proteco 42.18-KAB010;42.18-KAB010;kabel prodluovací 10 m  prùøez 1,5mm2;315
Proteco 42.18-KAB020;42.18-KAB020;kabel prodluovací 20 m  prùøez 1,5mm2;585
Proteco 42.18-KAB025-4C;42.18-KAB025-4C;kabel prodluovací na cívce 25 m  prùøez 1,5mm2;1005
Proteco 42.18-KAB040-4C;42.18-KAB040-4C;kabel prodluovací na cívce 40 m  prùøez 1,5mm2;1485
Proteco 42.18-KAB050-4C;42.18-KAB050-4C;kabel prodluovací na cívce 50 m  prùøez 1,5mm2;1777
Proteco 42.22-0830903;42.22-0830903;stojan na vrtaèku 510/110mm;704
Proteco 42.22-1003091;42.22-1003091;stojan na úhlovou brusku 115, 125, 150 mm;741
Proteco 42.22-1003093;42.22-1003093;stojan na úhlovou brusku 180, 230 mm;790
Proteco 42.90-01-010;42.90-01-010;obal na jehlové pilníky - 7 ks 11x17cm;234
Proteco 42.90-01-100;42.90-01-100;obal na klíèe - 8ks 46x42cm (43 8.608);328
Proteco 42.90-01-110;42.90-01-110;obal na klíèe - 8ks 40x32cm (43 5.608,895.508);316
Proteco 42.90-01-111;42.90-01-111;obal na klíèe - 12ks 77x51cm (43 8.612);343
Proteco 42.90-01-112;42.90-01-112;obal na klíèe - 12ks 71x38cm (43 5.612,43.227.612);428
Proteco 42.90-01-113;42.90-01-113;obal na klíèe - 12ks 71x35cm (895.512);330
Proteco 42.90-01-121;42.90-01-121;obal na klíèe - 21ks 90x56cm (43 277.621,279.621);462
Proteco 42.90-01-122;42.90-01-122;obal na klíèe - 12ks 53x36cm (43 277.612,278.612,279.612, JD);361
Proteco 42.90-01-141;42.90-01-141;obal na klíèe - 8ks 43x33cm (43 277.608,278.608,279.608);297
Proteco 43.100-31;43.100-31;"redukce 1"" - 3/4""";279
Proteco 43.100-32;43.100-32;"redukce prùmyslová 1"" - 3/4""";281
Proteco 43.120-01;43.120-01;"adaptér 1/2""- 1/4"" redukce pro bity";42
Proteco 43.120-01A;43.120-01A;"adaptér 1/2""- 5/16"" redukce pro bity";24
Proteco 43.120-01B;43.120-01B;"adaptér 1/2""- 10mm redukce pro bity";29
Proteco 43.120-03;43.120-03;"kardan univerzální 1/2"" 68 mm";84
Proteco 43.120-031;43.120-031;"kardan vısuvnı 1/2""";205
Proteco 43.120-04;43.120-04;"vratidlo 1/2"" 300 mm";157
Proteco 43.120-041;43.120-041;"vratidlo 1/2"" 250 mm";135
Proteco 43.120-05;43.120-05;"nástavec 1/2"" 250 mm";119
Proteco 43.120-06;43.120-06;"nástavec 1/2"" 125 mm";71
Proteco 43.120-07;43.120-07;"nástavec 1/2"" 75mm";44
Proteco 43.120-082;43.120-082;"nástavec 1/2"" vıkyvnı 75mm";55
Proteco 43.120-083;43.120-083;"nástavec 1/2"" vıkyvnı 125mm";78
Proteco 43.120-086;43.120-086;"nástavec 1/2"" vıkyvnı 250mm";148
Proteco 43.120-091;43.120-091;"nástavec 1/2"" rychloupínací 82mm s magnetem";158
Proteco 43.120-092;43.120-092;"nástavec 1/2"" rychloupínací 125mm s magnetem";167
Proteco 43.120-093;43.120-093;"nástavec 1/2"" rychloupínací 250mm s magnetem";219
Proteco 43.120-10;43.120-10;"vratidlo kloubové 1/2"" 360mm";275
Proteco 43.120-11;43.120-11;"ráèna pøepínací 1/2"" s vyhaz. 48z. páèka";420
Proteco 43.120-11-K;43.120-11-K;"ráèna pøepínací 1/2"" s vyhaz. 72z. páèka KOMPOZIT";323
Proteco 43.120-12;43.120-12;"ráèna pøepínací 1/2"" s vyhaz. 72z. koleèko";373
Proteco 43.120-13;43.120-13;"ráèna pøepínací 1/2"" kloubová s vyhaz. 72z. dlouhá";443
Proteco 43.120-14;43.120-14;"ráèna pøepínací 1/2"" kloubová s vyhaz. 72z. krátká";392
Proteco 43.120-15;43.120-15;"ráèna pøepínací 1/2"" s vyhaz. teleskopická";482
Proteco 43.120-16;43.120-16;"ráèna pøepínací 1/2"" Professional s vyhaz. 48z. páèka";507
Proteco 43.120-16-K;43.120-16-K;"ráèna pøepínací 1/2"" Profess. s vyhaz. 72z. páèka KOMPOZIT";330
Proteco 43.120-17;43.120-17;"ráèna pøepínací 1/2"" Professional s vyhaz. 72z. toèítko";442
Proteco 43.120-18;43.120-18;"ráèna pøepínací 1/2"" - pøeklápìcí 72 zubù";578
Proteco 43.120-19;43.120-19;"ráèna pøepínací 1/2"" úhlová";613
Proteco 43.120-20;43.120-20;"kolovrátek 1/2"" 400 mm";206
Proteco 43.120-22;43.120-22;"ráèna pøepínací 1/2""  72z. s páèkou a osvìtlením";590
Proteco 43.120-22-K;43.120-22-K;"ráèna pøepínací 1/2""  72z. s páèkou a osvìtlením KOMPOZIT";553
Proteco 43.120-23;43.120-23;"ráèna pøepínací 1/2"" rotaèní mini";242
Proteco 43.120-31;43.120-31;"redukce 1/2"" - 3/8""";27
Proteco 43.120-32;43.120-32;"redukce 1/2"" - 3/4""";175
Proteco 43.120-51;43.120-51;"redukce prùmyslová 1/2"" - 3/8""";107
Proteco 43.120-52;43.120-52;"redukce prùmyslová 1/2"" - 3/4""";232
Proteco 43.120-53;43.120-53;"kardan prùmyslovı 1/2"" 65 mm";276
Proteco 43.120-55;43.120-55;"nástavec prùmyslovı 1/2"" 75 mm";134
Proteco 43.120-551;43.120-551;"nástavec prùmyslovı 1/2"" 125 mm";149
Proteco 43.120-552;43.120-552;"nástavec prùmyslovı 1/2"" 250 mm";236
Proteco 43.120-56;43.120-56;"nástavec prùmyslovı 1/2"" vıkyvnı  250mm";291
Proteco 43.120-57;43.120-57;"nástavec prùmyslovı 1/2"" vıkyvnı  125mm";177
Proteco 43.120-58;43.120-58;"nástavec prùmyslovı 1/2"" vıkyvnı   75mm";127
Proteco 43.120-90;43.120-90;"drák hlavic 1/2"" prázdnı plech.  (pro 14 hl.)";36
Proteco 43.12100-08;43.12100-08;"hlavice nástrèná 1/2""   8  SPLINE";51
Proteco 43.12100-09;43.12100-09;"hlavice nástrèná 1/2""   9  SPLINE";49
Proteco 43.12100-10;43.12100-10;"hlavice nástrèná 1/2""  10  SPLINE";60
Proteco 43.12100-11;43.12100-11;"hlavice nástrèná 1/2""  11  SPLINE";49
Proteco 43.12100-12;43.12100-12;"hlavice nástrèná 1/2""  12  SPLINE";60
Proteco 43.12100-13;43.12100-13;"hlavice nástrèná 1/2""  13  SPLINE";49
Proteco 43.12100-14;43.12100-14;"hlavice nástrèná 1/2""  14  SPLINE";64
Proteco 43.12100-15;43.12100-15;"hlavice nástrèná 1/2""  15  SPLINE";64
Proteco 43.12100-16;43.12100-16;"hlavice nástrèná 1/2""  16  SPLINE";53
Proteco 43.12100-17;43.12100-17;"hlavice nástrèná 1/2""  17  SPLINE";54
Proteco 43.12100-18;43.12100-18;"hlavice nástrèná 1/2""  18  SPLINE";73
Proteco 43.12100-19;43.12100-19;"hlavice nástrèná 1/2""  19  SPLINE";69
Proteco 43.12100-20;43.12100-20;"hlavice nástrèná 1/2""  20  SPLINE";59
Proteco 43.12100-21;43.12100-21;"hlavice nástrèná 1/2""  21  SPLINE";66
Proteco 43.12100-22;43.12100-22;"hlavice nástrèná 1/2""  22  SPLINE";84
Proteco 43.12100-23;43.12100-23;"hlavice nástrèná 1/2""  23  SPLINE";73
Proteco 43.12100-24;43.12100-24;"hlavice nástrèná 1/2""  24  SPLINE";93
Proteco 43.12100-27;43.12100-27;"hlavice nástrèná 1/2""  27  SPLINE";90
Proteco 43.12100-30;43.12100-30;"hlavice nástrèná 1/2""  30  SPLINE";119
Proteco 43.12100-32;43.12100-32;"hlavice nástrèná 1/2""  32  SPLINE";111
Proteco 43.1210-06;43.1210-06;"hlavice nástrèná 1/2"" na M6 závrtné šrouby";162
Proteco 43.1210-08;43.1210-08;"hlavice nástrèná 1/2"" na M8 závrtné šrouby";166
Proteco 43.1210-10;43.1210-10;"hlavice nástrèná 1/2"" na M10 závrtné šrouby";188
Proteco 43.1210-12;43.1210-12;"hlavice nástrèná 1/2"" na M12 závrtné šrouby";178
Proteco 43.121-08;43.121-08;"hlavice nástrèná 1/2"" 8";24
Proteco 43.121-08-P;43.121-08-P;"hlavice nástrèná 1/2"" 8 prodlouená";52
Proteco 43.121-09;43.121-09;"hlavice nástrèná 1/2"" 9";28
Proteco 43.121-09-P;43.121-09-P;"hlavice nástrèná 1/2"" 9 prodlouená";47
Proteco 43.121-10;43.121-10;"hlavice nástrèná 1/2"" 10";26
Proteco 43.1211-08;43.1211-08;"hlavice zástrèná 1/2"" PL 8x1.2";48
Proteco 43.1211-09;43.1211-09;"hlavice zástrèná 1/2"" PL 9x1.6";50
Proteco 43.121-10-P;43.121-10-P;"hlavice nástrèná 1/2"" 10 prodlouená";52
Proteco 43.121-11;43.121-11;"hlavice nástrèná 1/2"" 11";23
Proteco 43.1211-10;43.1211-10;"hlavice zástrèná 1/2"" PL 10x1.6";50
Proteco 43.1211-11;43.1211-11;"hlavice zástrèná 1/2"" PL 11x1.8";54
Proteco 43.1211-12;43.1211-12;"hlavice zástrèná 1/2"" PL 12x2.0";39
Proteco 43.1211-14;43.1211-14;"hlavice zástrèná 1/2"" PL 14x2.5";65
Proteco 43.1211-16;43.1211-16;"hlavice zástrèná 1/2"" PL 16x2.5";71
Proteco 43.121-11-P;43.121-11-P;"hlavice nástrèná 1/2"" 11 prodlouená";52
Proteco 43.121-12;43.121-12;"hlavice nástrèná 1/2"" 12";23
Proteco 43.121-12-P;43.121-12-P;"hlavice nástrèná 1/2"" 12 prodlouená";49
Proteco 43.121-13;43.121-13;"hlavice nástrèná 1/2"" 13";23
Proteco 43.121-13-P;43.121-13-P;"hlavice nástrèná 1/2"" 13 prodlouená";49
Proteco 43.121-14;43.121-14;"hlavice nástrèná 1/2"" 14";25
Proteco 43.121-14-P;43.121-14-P;"hlavice nástrèná 1/2"" 14 prodlouená";49
Proteco 43.121-15;43.121-15;"hlavice nástrèná 1/2"" 15";22
Proteco 43.121-15-P;43.121-15-P;"hlavice nástrèná 1/2"" 15 prodlouená";49
Proteco 43.121-16;43.121-16;"hlavice nástrèná 1/2"" 16";24
Proteco 43.121-16-P;43.121-16-P;"hlavice nástrèná 1/2"" 16 prodlouená";49
Proteco 43.121-16-S;43.121-16-S;"hlavice na svíèky 1/2"", 16mm";36
Proteco 43.121-16-SK;43.121-16-SK;"hlavice na svíèky 1/2"" 16mm s kloubem";405
Proteco 43.121-17;43.121-17;"hlavice nástrèná 1/2"" 17";28
Proteco 43.121-17-P;43.121-17-P;"hlavice nástrèná 1/2"" 17 prodlouená";49
Proteco 43.121-18;43.121-18;"hlavice nástrèná 1/2"" 18";30
Proteco 43.121-18-P;43.121-18-P;"hlavice nástrèná 1/2"" 18 prodlouená";59
Proteco 43.121-19;43.121-19;"hlavice nástrèná 1/2"" 19";30
Proteco 43.121-19-P;43.121-19-P;"hlavice nástrèná 1/2"" 19 prodlouená";57
Proteco 43.121-20;43.121-20;"hlavice nástrèná 1/2"" 20";34
Proteco 43.1212-02;43.1212-02;"hlavice zástrèná 1/2"" PH 2";48
Proteco 43.1212-03;43.1212-03;"hlavice zástrèná 1/2"" PH 3";48
Proteco 43.1212-04;43.1212-04;"hlavice zástrèná 1/2"" PH 4";36
Proteco 43.121-20-P;43.121-20-P;"hlavice nástrèná 1/2"" 20 prodlouená";63
Proteco 43.121-21;43.121-21;"hlavice nástrèná 1/2"" 21";35
Proteco 43.121-21-P;43.121-21-P;"hlavice nástrèná 1/2"" 21 prodlouená";68
Proteco 43.121-21-S;43.121-21-S;"hlavice na svíèky 1/2"" 80, 21mm";46
Proteco 43.121-21-SK;43.121-21-SK;"hlavice na svíèky 1/2"" 21mm s kloubem";296
Proteco 43.121-22;43.121-22;"hlavice nástrèná 1/2"" 22";41
Proteco 43.121-22-P;43.121-22-P;"hlavice nástrèná 1/2"" 22 prodlouená";80
Proteco 43.121-23;43.121-23;"hlavice nástrèná 1/2"" 23";46
Proteco 43.121-23-P;43.121-23-P;"hlavice nástrèná 1/2"" 23 prodlouená";73
Proteco 43.121-24;43.121-24;"hlavice nástrèná 1/2"" 24";51
Proteco 43.121-24-P;43.121-24-P;"hlavice nástrèná 1/2"" 24 prodlouená";77
Proteco 43.121-25;43.121-25;"hlavice nástrèná 1/2"" 25";59
Proteco 43.121-25-P;43.121-25-P;"hlavice nástrèná 1/2"" 25 prodlouená";75
