;obj.è.;Jaz.název;cena s DPH, WEB bez dalších slev
Proteco 10.05-V03-0600;10.05-V03-0600;vodováha Al   60cm 3 libely (1x otoèná) èerv.PROTECO;252
Proteco 10.05-V03-0800;10.05-V03-0800;vodováha Al   80cm 3 libely (1x otoèná) èerv.PROTECO;310
Proteco 10.05-V03-1000;10.05-V03-1000;vodováha Al 100cm 3 libely (1x otoèná) èerv.PROTECO;365
Proteco 10.05-V03-1200;10.05-V03-1200;vodováha Al 120cm 3 libely (1x otoèná) èerv.PROTECO;423
Proteco 10.05-V03-1500;10.05-V03-1500;vodováha Al 150cm 3 libely (1x otoèná) èerv.PROTECO;507
Proteco 10.05-V03-1800;10.05-V03-1800;vodováha Al 180cm 3 libely (1x otoèná) èerv.PROTECO;595
Proteco 10.05-V03-2000;10.05-V03-2000;vodováha Al 200cm 3 libely (1x otoèná) èerv.PROTECO;645
Proteco 10.05-V04-0600;10.05-V04-0600;vodováha digitální s laserem 60 cm, + 2 libely  PROTECO;2214
Proteco 10.05-V05-0400;10.05-V05-0400;vodováha laserová + otoè.základna + stativ + kufr;1133
Proteco 10.06-10-150;10.06-10-150;mìøítko pos. 150 mm   KLASIK;315
Proteco 10.06-11-150;10.06-11-150;mìøítko pos. 150 mm   digitální;558
Proteco 10.07-1000-01;10.07-1000-01;drák bitù magnet. 30mm s rukojetí,rychlouzávìr;131
Proteco 10.07-1000-02;10.07-1000-02;drák bitù magnet. 120mm s rukojetí,rychlouzávìr;157
Proteco 10.07-1000-03;10.07-1000-03;drák bitù magnetickı 50 mm s ráènou, univerzální rukoje, 3 var.;232
Proteco 10.07-1000-05;10.07-1000-05;klíè ráènovı univerzální  5.5 - 23 mm;476
Proteco 10.07-1000-06;10.07-1000-06;"ráèna trojitá 1/4"", 3/8"", 1/2""  72z celokovová 250 mm";435
Proteco 10.07-1010-00;10.07-1010-00;šroubovák Philips PH 0 3x75mm lutoèernı PROTECO;47
Proteco 10.07-1010-01;10.07-1010-01;šroubovák Philips PH 1 5x80mm lutoèernı PROTECO;48
Proteco 10.07-1010-02;10.07-1010-02;šroubovák Philips PH 2 6x100mm modrı PROTECO;57
Proteco 10.07-1010-03;10.07-1010-03;šroubovák Philips PH 3 8x175mm modrı PROTECO;109
Proteco 10.07-1110-00;10.07-1110-00;šroubovák Pozidrive PZ 0 3x75mm lutı PROTECO;47
Proteco 10.07-1110-01;10.07-1110-01;šroubovák Pozidrive PZ 1 5x80mm lutı PROTECO;55
Proteco 10.07-1110-02;10.07-1110-02;šroubovák Pozidrive PZ 2 6x100mm lutı PROTECO;64
Proteco 10.07-1110-03;10.07-1110-03;šroubovák Pozidrive PZ 3 8x175mm lutı PROTECO;95
Proteco 10.07-1210-01;10.07-1210-01;šroubovák plochı PL 3.0x100mm  PROTECO;50
Proteco 10.07-1210-02;10.07-1210-02;šroubovák plochı PL 4.0x75mm èervenı PROTECO;54
Proteco 10.07-1210-03;10.07-1210-03;šroubovák plochı PL 4.0x100mm èervenı PROTECO;55
Proteco 10.07-1210-04;10.07-1210-04;šroubovák plochı PL 5.5x100mm èervenı PROTECO;50
Proteco 10.07-1210-05;10.07-1210-05;šroubovák plochı PL 5.5x125mm èervenı PROTECO;58
Proteco 10.07-1210-06;10.07-1210-06;šroubovák plochı PL 5.5x150mm èervenı PROTECO;69
Proteco 10.07-1210-07;10.07-1210-07;šroubovák plochı PL 6.5x100mm èervenı PROTECO;64
Proteco 10.07-1210-08;10.07-1210-08;šroubovák plochı PL 6.5x120mm èervenı PROTECO;61
Proteco 10.07-1210-09;10.07-1210-09;šroubovák plochı PL 6.5x150mm èervenı PROTECO;63
Proteco 10.07-1210-10;10.07-1210-10;šroubovák plochı PL 6.5x200mm èervenı PROTECO;72
Proteco 10.07-1210-11;10.07-1210-11;šroubovák plochı PL 8.0x200mm èervenı PROTECO;106
Proteco 10.07-1210-12;10.07-1210-12;šroubovák plochı PL 10.0x200mm èervenı PROTECO;111
Proteco 10.07-1310-06;10.07-1310-06;šroubovák TORX TX 6 3x60mm zelenı PROTECO;49
